DATE,SP500,GOOGLE,AMAZON,APPLE,MICROSOFT
2004-08-19,1091.22998,49.982655,38.630001,2.193571,27.120001
2004-08-20,1098.349976,53.95277,39.509998,2.2,27.200001
2004-08-23,1095.680054,54.495735,39.450001,2.22,27.24
2004-08-24,1096.189941,52.239193,39.049999,2.282143,27.24
2004-08-25,1104.959961,52.802086,40.299999,2.360714,27.549999
2004-08-26,1105.089966,53.753517,40.189999,2.475714,27.440001
2004-08-27,1107.77002,52.876804,39.900002,2.453571,27.459999
2004-08-30,1099.150024,50.814533,38.310001,2.437143,27.299999
2004-08-31,1104.23999,50.993862,38.139999,2.463571,27.299999
2004-09-01,1105.910034,49.93782,38.240002,2.561429,27.389999
2004-09-02,1118.310059,50.565468,39.18,2.547143,27.620001
2004-09-03,1113.630005,49.818268,38.740002,2.516428,27.110001
2004-09-07,1121.300049,50.600338,38.509998,2.554286,27.360001
2004-09-08,1116.27002,50.958992,38.009998,2.596429,27.26
2004-09-09,1118.380005,50.963974,38.07,2.55,27.280001
2004-09-10,1123.920044,52.468334,38.57,2.562143,27.49
2004-09-13,1125.819946,53.549286,40.009998,2.542143,27.25
2004-09-14,1128.329956,55.536835,42.669998,2.535,27.440001
2004-09-15,1120.369995,55.790882,42.209999,2.514286,27.190001
2004-09-16,1123.5,56.772205,42.57,2.596429,27.26
2004-09-17,1128.550049,58.525631,42.959999,2.652857,27.51
2004-09-20,1122.199951,59.457142,43.27,2.693571,27.51
2004-09-21,1129.300049,58.699978,43.290001,2.715,27.26
2004-09-22,1113.560059,58.968971,41.380001,2.637143,27.120001
2004-09-23,1108.359985,60.184414,41.830002,2.662143,27.35
2004-09-24,1110.109985,59.691261,40.939999,2.663571,27.290001
2004-09-27,1103.52002,58.909195,39.93,2.680714,27.190001
2004-09-28,1110.060059,63.193138,39.43,2.717143,27.27
2004-09-29,1114.800049,65.295258,40.84,2.762857,27.58
2004-09-30,1114.579956,64.558022,40.860001,2.767857,27.65
2004-10-01,1131.5,66.042458,40.470001,2.762143,28.25
